ITERATION,STRATEGY_1_COST,STRATEGY_1_EFF,STRATEGY_2_COST,STRATEGY_2_EFF,STRATEGY_4_COST,STRATEGY_4_EFF,u_disutility_delta,t_max_fail,p_allo_success_de,u_disutility_off,p_hyper_D,p_die_hyper_D,p_allo_ae,p_flare,p_flare_uncon,p_flare_uncon_off,p_stop_low,p_stop_med,p_stop_hi,p_sto_ae_allo,u_flare,u_flare_ae,u_hyper
80,10077.17827,16.43780722,13546.21469,16.45302116,8499.093136,16.37348218,0.040453232,5.934616831,0.773913704,0.057600254,0.003665729,0.264326875,0.246190708,0.213280838,0.375219185,0.456741399,0.065312379,0.268532072,0.441843211,0.025256598,0.013173524,0.100847971,0.358288672
81,8852.31351,16.17772131,11811.45332,16.18793318,7114.850547,16.14168852,0.06358629,8.14315899,0.868284562,0.033468201,0.006640805,0.334818062,0.220947367,0.212208098,0.35215001,0.461309025,0.057107167,0.259797815,0.389851344,0.036534081,0.01245238,0.193857264,0.34933572
82,12368.00959,9.315696302,15852.01711,9.3257094,10911.8371,9.272309027,0.053909633,6.929861962,0.767857444,0.044337888,0.003219928,0.225785959,0.219958449,0.249464887,0.385168295,0.469596645,0.115610062,0.264220079,0.447747782,0.048098645,0.007679144,0.0005185,0.345644018
83,4926.226426,7.484116145,8736.238789,7.484144592,3695.323265,7.460960121,0.049213689,9.506879683,0.846434448,0.039772747,0.002666978,0.320214861,0.199805405,0.233771659,0.372856195,0.447213106,0.124875357,0.250933367,0.196648802,0.028173209,0.002957379,4.97E-05,0.351912659
84,17557.50503,14.8362297,21098.54908,14.84485084,15939.95887,14.81579205,0.042528127,10.05168892,0.78926219,0.034126675,0.003173373,0.290491549,0.222803347,0.217798961,0.38825383,0.4381926,0.145178136,0.168473556,0.32397626,0.03990244,0.00270768,0.002477363,0.351687473
85,3888.476991,11.58745848,6686.176125,11.59114793,1945.422327,11.55962212,0.051039775,8.778970468,0.840417455,0.030557342,0.00385597,0.255346419,0.273633226,0.219656674,0.354890352,0.49193572,0.063105014,0.281363828,0.213674328,0.040365948,0.01982145,0.006796045,0.349168392
86,12787.97263,13.42440466,17259.42614,13.45365795,11607.08069,13.38904682,0.087636769,7.497897836,0.771096902,0.02923996,0.001863658,0.270032042,0.240051067,0.240003531,0.370441964,0.484164455,0.13919248,0.192984664,0.300956792,0.038771401,0.034266711,0.000647118,0.350878925
87,7627.88186,5.141706508,9976.847385,5.142837654,5876.997852,5.108343459,0.065579603,10.50107788,0.816984273,0.041305729,0.004009556,0.272605618,0.215105662,0.235619102,0.38081419,0.454077218,0.056731872,0.296592542,0.361052418,0.031331882,0.027098194,0.200156859,0.351502811
88,21507.16587,15.00497747,24984.85749,15.01376707,19493.40272,14.99217145,0.052183566,7.629913277,0.836937408,0.025650298,0.005461353,0.252424569,0.224649147,0.227173145,0.348080348,0.45800823,0.114969309,0.142025415,0.435931268,0.029252218,0.001836622,0.02782042,0.347266893
89,8112.971842,15.82091345,11269.90797,15.83396445,5833.970081,15.80160515,0.042198793,6.518429658,0.730175156,0.03935978,0.001210482,0.337253548,0.279174111,0.229928911,0.354288693,0.433598977,0.148069491,0.170615468,0.26927552,0.017868582,0.016127286,2.10E-05,0.347780438
